ZipCode|ZipCodeType|City|State|Lattitude|Longitude|Location
57748|Standard|Howes|SD|44.62|-102.04|NA-US-SD-HOWES
57750|Standard|Interior|SD|43.72|-101.98|NA-US-SD-INTERIOR
57751|Standard|Keystone|SD|43.89|-103.42|NA-US-SD-KEYSTONE
57752|Standard|Kyle|SD|43.42|-102.16|NA-US-SD-KYLE
57754|Standard|Lead|SD|44.35|-103.76|NA-US-SD-LEAD
57755|Standard|Ludlow|SD|45.83|-103.38|NA-US-SD-LUDLOW
57756|PO Box|Manderson|SD|43.23|-102.47|NA-US-SD-MANDERSON
57758|Standard|Mud Butte|SD|45.00|-102.87|NA-US-SD-MUD BUTTE
57759|Standard|Nemo|SD|44.19|-103.50|NA-US-SD-NEMO
57760|Standard|Newell|SD|44.71|-103.41|NA-US-SD-NEWELL
57761|Standard|New Underwood|SD|44.09|-102.83|NA-US-SD-NEW UNDERWOOD
57762|Standard|Nisland|SD|44.67|-103.55|NA-US-SD-NISLAND
57763|Standard|Oelrichs|SD|43.18|-103.23|NA-US-SD-OELRICHS
57764|Standard|Oglala|SD|43.18|-102.73|NA-US-SD-OGLALA
57766|Standard|Oral|SD|43.40|-103.26|NA-US-SD-ORAL
57767|Standard|Owanka|SD|44.01|-102.58|NA-US-SD-OWANKA
57769|Standard|Piedmont|SD|44.23|-103.40|NA-US-SD-PIEDMONT
57770|Standard|Pine Ridge|SD|43.02|-102.55|NA-US-SD-PINE RIDGE
57772|Standard|Porcupine|SD|43.27|-102.33|NA-US-SD-PORCUPINE
57773|PO Box|Pringle|SD|43.60|-103.59|NA-US-SD-PRINGLE
57775|Standard|Quinn|SD|43.98|-102.12|NA-US-SD-QUINN
57776|PO Box|Redig|SD|45.27|-103.54|NA-US-SD-REDIG
57779|Standard|Saint Onge|SD|44.56|-103.74|NA-US-SD-SAINT ONGE
57780|Standard|Scenic|SD|43.78|-102.55|NA-US-SD-SCENIC
57782|PO Box|Smithwick|SD|43.30|-103.22|NA-US-SD-SMITHWICK
57783|Standard|Spearfish|SD|44.48|-103.84|NA-US-SD-SPEARFISH
57785|Standard|Sturgis|SD|44.41|-103.51|NA-US-SD-STURGIS
57787|Standard|Union Center|SD|44.56|-102.66|NA-US-SD-UNION CENTER
57788|Standard|Vale|SD|44.61|-103.40|NA-US-SD-VALE
57790|Standard|Wall|SD|43.99|-102.23|NA-US-SD-WALL
57791|Standard|Wasta|SD|44.06|-102.44|NA-US-SD-WASTA
57792|Standard|White Owl|SD|44.59|-102.42|NA-US-SD-WHITE OWL
57793|Standard|Whitewood|SD|44.46|-103.64|NA-US-SD-WHITEWOOD
57794|Standard|Wounded Knee|SD|43.14|-102.36|NA-US-SD-WOUNDED KNEE
57799|Unique|Spearfish|SD|44.48|-103.84|NA-US-SD-SPEARFISH
58001|PO Box|Abercrombie|ND|46.44|-96.72|NA-US-ND-ABERCROMBIE
58002|Standard|Absaraka|ND|46.97|-97.39|NA-US-ND-ABSARAKA
58004|Standard|Amenia|ND|47.00|-97.22|NA-US-ND-AMENIA
58005|Standard|Argusville|ND|47.05|-96.94|NA-US-ND-ARGUSVILLE
58006|Standard|Arthur|ND|47.10|-97.21|NA-US-ND-ARTHUR
58007|Standard|Ayr|ND|47.04|-97.49|NA-US-ND-AYR
58008|Standard|Barney|ND|46.26|-96.99|NA-US-ND-BARNEY
58009|Standard|Blanchard|ND|47.34|-97.21|NA-US-ND-BLANCHARD
58011|Standard|Buffalo|ND|46.92|-97.55|NA-US-ND-BUFFALO
58012|Standard|Casselton|ND|46.90|-97.21|NA-US-ND-CASSELTON
58013|Standard|Cayuga|ND|46.07|-97.38|NA-US-ND-CAYUGA
58015|Standard|Christine|ND|46.57|-96.80|NA-US-ND-CHRISTINE
58016|Standard|Clifford|ND|47.34|-97.40|NA-US-ND-CLIFFORD
58017|Standard|Cogswell|ND|46.10|-97.78|NA-US-ND-COGSWELL
58018|Standard|Colfax|ND|46.47|-96.87|NA-US-ND-COLFAX
58021|Standard|Davenport|ND|46.71|-97.06|NA-US-ND-DAVENPORT
58027|Standard|Enderlin|ND|46.62|-97.59|NA-US-ND-ENDERLIN
58029|Standard|Erie|ND|47.11|-97.38|NA-US-ND-ERIE
