RoutingNumber|TelegraphicName|CustomerName|City|State|ZipCode
011701107|Assumpsic Svgs Bk|Passumpsic Savings Bank|Lancaster|NH|
011701288|Orthway Bank|Northway Bank|Plymouth|NH|
011701314|Ranite Bank|Granite Bank|Colebrook|NH|
011701398|Irst Tilton|Washington Mutual Bank|Concord|NH|
011701424|Ascoma Lebanon|Mascoma Savings Bank|Lebanon|NH|
011701660|Ew London Tr Nh|Lake Sunapee Bank Fsb|New London|NH|
011701903|Ank of New Hamp|Bank of New Hampshire|Laconia|NH|
011802488|Eoples Bank|PeopleS United Bank, Na|Bridgeport|CT|
011805388|Dams Comm Bk|Adams Community Bank|Adams|MA|
011807043|Irst Niagara|Keybank National Assoication|Buffalo|NY|
011910697|Erkshire Bank|Berkshire Bank|Hartford|CT|
011975221|Cf Hartford|Tcf National Bank|Hartford|CT|
021000018|K of Nyc|The Bank of New York Mellon|New York|NY|
021000021|Pmchase|Jpmorgan Chase Bank, Na|New York|NY|
021000089|Itibank Nyc|Citibank, N.A.|New York|NY|
021000238|Pmchase|Jpmorgan Chase Bank|New York|NY|
021001033|Btco Americas Nyc|Deutsche Bank Trust Co. Americas|New York|NY|
021001088|Sbc Usa|Hsbc Bank Usa, Na|Buffalo|NY|
021001318|S Tr Nyc|United States Trust Company, N.A.|New York|NY|
021001486|Uro Amer Nyc|Citibank, N.A.|New York|NY|
021004823|Epublic Nyc|Hsbc Bank Usa, Na|New York|NY|
021030004|Reas Nyc|Treas Nyc/funds Transfer Division|Washington|DC|
021030017|Reas Com Dep|Treas Nyc/commercial Bank Deposits|New York|NY|
021030033|Reas Phil Fin Ctr|Treas Phil Fin Ctr/funds Trans Div|New York|NY|
021030046|Reas Sf Fin Ctr|Treas Sf Fin Ctr/funds Transfer Div|New York|NY|
021031003|Hlbb Washs|Fhlb- General Account|Reston|VA|
021033205|Hlmc Washs|Fed. Home Loan Mort. General Account|Mclean|VA|
021033409|Ca Nycs|Farm Credit Bank-General Acct|Jersey City|NJ|
021033412|Ank Coop Nyc|Farm Credit - Bank for Co-Ops|||
021033425|Icb Nyc|Farm Credit - Fed. Int. Credit Bks|||
021033519|Ico P&I|Financing Corp. P & I Account|Reston|VA|
021036008|Ga Master|Tga Master|Washington|DC|
021036011|S Treas P&I|Treas Securities P&I|New York|NY|
021038200|Arm Credit P&I|Federal Farm-Con.System Bds|Jersey City|NJ|
021038857|Efcorp|Resolution Funding Corp. General|Reston|VA|
021038886|Hips Securities|Chips Securities Account|New York|NY|
021039513|Hlmc Investor Pi|Federal Home Loan Mtg. Investor Pi|Mclean|VA|
021039526|Reddie Mac Mbs Pi|Fhl Mortg. Pc Issue - P & I|Mclean|VA|
021050165|Armer Mac Pi|Federal AgricultRl Mortg.Corp.(P&I)|Washington|DC|
021051180|Hips|Chips Account|New York|NY|
021051274|Atl Sec Cl Corp|National Securities Clearing Corpora|New York|NY|
021051287|Icc|Fixed Income Clearing Corporation|New York|NY|
021051371|Nma Wash|Gnma Wash|New York|NY|
021052040|Reasury Bbo|U.S. Treas Buyback Operation|New York|NY|
021052367|Edwire Test Bk B|Fedwire Frb Test Bank B|New York|NY|
021052927|Bs Bank Usa|Ubs Bank Usa|New York|NY|
021052943|Ells Gnma-P&I|Wells Fargo Gnma-P&I|New York|NY|
021053065|Tsgov Intl Serv|Frbny Government Wires|Washington|DC|
021053968|Tps Prefunded|Rtps Prefunded Account|East Rutherford|NJ|
021054035|Ef Trust Ca|Defeasance Trust Collateral Account|East Rutherford|NJ|
021054064|Ef Tr Retirement|Defeasance Trust Retirement Acct|East Rutherford|NJ|
021054527|A Farm Credit|Distribution Acct-Farm Credit|East Rutherford|NJ|
021054530|A Fcac|Distribution Acct-Fcac Nyc|East Rutherford|NJ|
021054543|A Fhlb Washs|Distribution Acct-Fhlbb Wash|East Rutherford|NJ|
021054556|A Fico|Distribution Acct-Fico|East Rutherford|NJ|
021054569|A Refco|Distribution Acct-Refco|East Rutherford|NJ|
021054572|A Freddie Mac|Distribution Acct-Freddie Mac|East Rutherford|NJ|
021054585|A Fannie Mae|Distribution Acct-Fannie Mae|East Rutherford|NJ|
021054598|A Farmer Mac|Distribution Acct-Farmer Mac|East Rutherford|NJ|
021054611|A Afdb|Distribution Acct-Afdb|East Rutherford|NJ|
021054624|A Adb|Distribution Acct-Asian Dev Bank|East Rutherford|NJ|
021054637|A Iadb|Distribution Acct-Iadb|East Rutherford|NJ|
021054640|A Ibrd|Distribution Acct-Ibrd|East Rutherford|NJ|
021054653|A Ifc|Distribution Acct-Ifc|East Rutherford|NJ|
021054666|A Gnma Wash|Distribution Acct-Gnma Wash|East Rutherford|NJ|
021054679|A Gnma Remics|Distribution Acct-Gnma Remics Truste|East Rutherford|NJ|
021054682|A Veteran Affairs|Distribution Acct-Veteran Affairs|East Rutherford|NJ|
021054695|A Tva|Distribution Acct-Tennessee Val Auth|East Rutherford|NJ|
021054718|A Us Treasury|Distribution Acct-Us Treasury|East Rutherford|NJ|
021054721|A Slm|Distribution Acct-Frbny Defea Tr Slm|East Rutherford|NJ|
021054734|Arm Credit Dn P&I|Farm Credit Bank Dn P&I|Jersey City|NJ|
021054747|Arm Credit Db P&I|Farm Credit Bank Db P&I|Jersey City|NJ|
021054750|Nma Dn P&I|Fnma Dn P&I|Washington|DC|
021054763|Hlb Washs Dn P&I|Fhlbb Dn P&I|Reston|VA|
021054802|Brd Dn P&I|Ibrd Dn P&I Account|East Rutherford|NJ|
021054941|Armer Mac Sec P&I|Farmer Mac Sec P&I Account|East Rutherford|NJ|
021055966|Edwire Dr Test Bk|Fedwire Distributed Requeuer Tb|New York|NY|
021055979|Fc Dn P&I|Ifc Dn P&I|Washington|DC|
021056318|Armer Mac Ii|Farmer Mac Ii|Washington|DC|
021056321|Adb P&I|Nadb P&I|East Rutherford|NJ|
021056334|A Nadb|Da Nadb|East Rutherford|NJ|
021059438|Ureau of Ocean En|Bureau of Ocean Energy Management|Camarillo|CA|
021080012|Brd Evergreen|Ebrd Ustda Evergreen Fund|New York|NY|
021080038|Adb|North American Development Bank|New York|NY|
021080054|Adb Us Caip|North Amer Dev Bk Us - Caip Capital|New York|NY|
021080070|Cbac2|European Central Bank-Acct 2|New York|NY|
021080119|Amibia Blocked|Bank of Namibia-Blocked Assets|New York|NY|
021080135|Nited Nations|United Nations|New York|NY|
021080180|Urkey Sp Funds|Turksf|New York|NY|
021080232|Dbacr|Adbacr/foreign Department|New York|NY|
021080245|Db Acct a|Adb Acct A/foreign Department|New York|NY|
021080287|Db Fund Acct|Adb Fund Acct/foreign Department|New York|NY|
021080339|Cb Italy|Ecb Acct Banca D Italia|New York|NY|
021080371|Fdb-Hipc Afd Bank|African Development Bk-Hipc Afd Bank|New York|NY|
021080384|Fdb-Hipc Afd Fund|African Development Bk-Hipc Afd Fund|New York|NY|
021080407|Brd|Ebrd/foreign Department|New York|NY|
021080410|Eth Mof Fms|Gov Netherlands-Min of Finance Fms|New York|NY|
021080436|Brd Nuclear Safe|Ebrd Nuclear Safety/forign Depart|New York|NY|
021080533|Ruguay Sp Fds Act|Banco Central Del Uruguay-Sp Fds Act|New York|NY|
021080546|Lovakia Des Acct|Natl Bk of Slovakia -Des Acct|New York|NY|
021080562|Adb Account|Inter-American Development Bank Acct|New York|NY|
021080591|Omania Ramp|NatL Bank of Romania Ramp Acct|New York|NY|
021080601|Dny Inv Dist|Sdnyd|New York|NY|
021080630|Fdb-Hipc Ntf|African Devel B-Hipc Nt Fund|New York|NY|
021080669|Ontenegro|Central Bank of Montenegro|New York|NY|
021080672|Lovakia Des Acctb|Natl Bk of Slovakia Design Acct B|New York|NY|
021080708|Raq Df Transition|Central Bank of Iraq Df-Transition|New York|NY|
021080740|Imor-Leste|Banco Central De Timor-Leste|New York|NY|
021080850|Raq Central Bank|Central Bank of Iraq|New York|NY|
021080863|Ulgarian Des Acct|Bulgarian Natl Bk Designtd Acct|New York|NY|
021080892|Om Rep Consolid|Bc Rep Dominicana-Consolidation Fund|New York|NY|
021080902|Om Rep Contingen|Bc Rep Dominicana-Contingency Fund|New York|NY|
021080915|Ao Tome|Banco Central De Sao Tome a Principe|New York|NY|
021080960|Ao Tome Natl Oil|Bc Sao Tome E Principe Natl Oil Acct|New York|NY|
021080973|Imor Petro Fund|Banco Central De Timor-Leste Pet Fnd|New York|NY|
021081082|Raq Fms|Central Bank of Iraq-Fms Account|New York|NY|
021081095|Brd Acct C|Ibrd Acct C/foreign Department|New York|NY|
021081189|Ustria Des Acct|Oesterreichische Nationalbank Des Ac|New York|NY|
021081202|Brd Tarbela|Ibrd Tarbela/foreign Department|New York|NY|
021081215|Bk Inv Port|National Bank of Kazak Inv Port|New York|NY|
021081228|Abo Verde|Banco De Cabo Verde|New York|NY|
021081231|Ngola|Banco Nacional De Angola|New York|NY|
021081244|Hilip Ip Acct|Central Bank of the Philipinnes Inv|New York|NY|
021081260|Fdb Mic Fund|African Devbk Mic Fund|New York|NY|
021081273|Eac-Gabon|Beac-Gabon Debt Investment Account|New York|NY|
021081286|Waziland Ramp|Cb Swaziland-Ramp Account|New York|NY|
021081299|Wanda Ramp|Banque Nationale Du Rwanda Ramp|New York|NY|
021081309|Ank of Slovenia|Bank of Slovenia|New York|NY|
021081341|Oe - No. 2 Acct|Bank of England-No. 2 Account|New York|NY|
021081354|Uroclear Bank|Euroclear Bank Account|New York|NY|
021081406|Oj-Ops Acct 1|Bank of Japan - Operations Account 1|New York|NY|
021081419|Oc - Ops Acct 1|Bank of Canada-Oper Acct 1|New York|NY|
021081422|Orges Ops Acct 1|Norges Bank- Operations Account 1|New York|NY|
021081435|Anmarks Ops Acct1|Danmarks NatLbank-Oper Acct 1|New York|NY|
