RoutingNumber|TelegraphicName|CustomerName|City|State|ZipCode
071109037|St Comm Bk|1st Community Bank|Sherrard|IL|
071109082|Irst Toledo|First Neighborhood Bank, N.A.|Toledo|IL|
071109163|Nited Bk Chatham|United Community Bank|Chatham|IL|
071109189|Tate Bank|State Bank of Cerro Gordo|Cerro Gordo|IL|
071109228|Cott State Bank|Scott State Bank|Bethany|IL|
071109325|Dgar County Paris|Edgar County Bank & Trust|Paris|IL|
071109338|Ll Natl Bk|Illinois National Bank|Springfield|IL|
071109406|Arine Bk|Marine Bank|Springfield|IL|
071109435|Irst Tremont|First National Bank/tremont|Tremont|IL|
071109684|Irst Waterloo Il|First National Bank|Waterloo|IL|
071109707|Omm Bk Cowden|Community Banks of Shelby County|Cowden|IL|
071109752|Alena State|Galena State Bank and Trust Company|Galena|IL|
071109820|Irst Farmers St|First Farmers State Bank|Minier|IL|
071109846|Arren-Boynton St|Warren-Boynton State Bank|New Berlin|IL|
071109891|Irst St Heyworth|First State Bank of Bloomington|Heyworth|IL|
071109927|Eoples Mansfield|First Mid-Illinois Bank & Trust|Mansfield|IL|
071110000|Ermilion Pipr Cty|Vermilion Valley Bank|Piper City|IL|
071110042|Ankorion|Bankorion|Orion|IL|
071110107|Lackhawk Bk & Tr|Blackhawk Bank and Trust|Milan|IL|
071110136|Irst Clifton Il|1st Trust & Savings Bank|Clifton|IL|
071110369|Hilo Exchange Bk|Philo Exchange Bank|Philo|IL|
071110521|Irst Arenzville|1st National Bank/arenzville|Arenzville|IL|
071110712|Irst Mt Auburn|1st National Bank/mt Auburn|Mount Auburn|IL|
071110819|Ongview Bank|Longview Bank|Ogden|IL|
071111339|Armer State Alpha|Farmers State Bank/western Illinois|Alpha|IL|
071111371|Nchor State Bank|Anchor State Bank|Anchor|IL|
071111397|Tate Annawan|Bankorion|Annawan|IL|
071111481|Thens State Bk|Athens State Bank|Athens|IL|
071111863|Rimfield Bank|Brimfield Bank|Brimfield|IL|
071111986|St St Bk La Harpe|First State Bank of Illinois|Peoria|IL|
071112037|Amp Grove St Bk|Camp Grove St Bk|Camp Grove|IL|
071112040|Ampus St Bk|Campus State Bank|Campus|IL|
071112105|Atlin Bank|Catlin Bank|Catlin|IL|
071112260|Issna Park State|Cissna Park State Bank|Cissna Park|IL|
071112480|Armers/danforth|Farmers State Bank/danforth|Danforth|IL|
071113049|St St Forrest|First State Bank of Forrest|Forrest|IL|
071113117|Entral Bk Fulton|Central Bank Illinois|Geneseo|IL|
071113162|Erm-Am German Val|German-American State Bank|German Valley|IL|
071113188|Lasford State Bk|Glasford State Bank|Glasford|IL|
071113298|Ranville National|The Granville National Bank|Granville|IL|
071113434|Artsburg St Bank|Hartsburg State Bank|Hartsburg|IL|
071113719|T Bk Industry|State Bank of Industry|Industry|IL|
071113793|Tate Bank Bement|State Bank of Bement|Bement|IL|
071114255|Ongview Bank|Longview Bank|Ogden|IL|
071114378|Orton Comunity Bk|Morton Community Bank|Manito|IL|
071114491|Arm St Bk McNabb|Farmers St Bk/mcnabb, First State Bk|Mcnabb|IL|
071114763|Rairie Sb & Trust|Prairie State Bank and Trust|Springfield|IL|
071115018|Irst Converse|First Farmers Bank & Trust|Converse|IN|
071115157|Arlinville Ntl Bk|Carlinviile National Bank|Taylorville|IL|
071115416|Aritan State Bank|Raritan State Bank|Raritan|IL|
071115720|Reedom Bank|Riverside Community Bank|Rockford|IL|
071115801|St Shannon-Polo|First State Bank Shannon-Polo|Shannon|IL|
071115995|Pring Valley Bank|Spring Valley City Bank|Spring Valley|IL|
071116062|Roquois Farmers|Iroquois Farmers State Bank|Iroquois|IL|
071116295|Orton Commun Bk|Morton Community Bank|Morton|IL|
071116813|Ank of Yates City|Bank of Yates City|Yates City|IL|
071117184|Own & Country Bk|Town & Country Bank|Buffalo|IL|
071117760|Irst Pana|First National Bank of Pana|Pana|IL|
071118170|Irst Converse|First Farmers Bank & Trust|Converse|IN|
071118222|Tate Graymont|State Bank of Graymont|Graymont|IL|
071118277|Eartland Bloomton|Heartland Bank & Trust Company|Bloomington|IL|
071118918|OdayS Bank West|U.S. Bank,n.A.|Galena|IL|
071119289|Ank of Rantoul|Bank of Rantoul|Rantoul|IL|
071119506|Ank of Pontiac|Bank of Pontiac|Fairbury|IL|
071119807|Illa Grove St Bk|Villa Grove State Bank|Villa Grove|IL|
071119865|Nited Bk Chatham|United Community Bank|Chatham|IL|
071120207|Etter Banks|Better Banks|Peoria|IL|
071120252|Dgar County Paris|Edgar County Bank & Trust|Paris|IL|
071120647|Ent Bank|Kent Bank|Freeport|IL|
071121594|Eartland Bloomton|Heartland Bank & Trust Company|Bloomington|IL|
071121675|Ansas State Bank|Edgar Co.Bk, 218 Buena Vista St Offi|Kansas|IL|
071121727|Etter Banks|Better Banks|Peoria|IL|
071121808|Rie Sb Forrest|Erie State Bank Div of Fsb Forrest|Forrest|IL|
071121866|Tate Treasurer Il|Treasurer, State of Illinois|Springfield|IL|
071121963|St St Monticello|First State Bank|Monticello|IL|
071122030|Ank Stronghurst|Bank of Stronghurst|Stronghurst|IL|
071122043|Ecurity Hamilton|Security State Bank/hamilton|Hamilton|IL|
071122056|Rinceville State|Princeville State Bank|Princeville|IL|
071122205|Ermont State Bank|Vermont State Bank|Vermont|IL|
071122247|Pple River St Bk|Apple River State Bank|Galena|IL|
071122535|Eoples Bank & Tr|Peoples Bank & Trust|Pana|IL|
071122564|Irst Amer St Bk|First American State Bank|Moline|IL|
071122616|Isher Natl|The Fisher National Bank|Fisher|IL|
071122687|Irst Taylorville|1st Natl Bank/taylorville|Taylorville|IL|
071122933|Ibm Bank|Cibm Bank|Champaign|IL|
071123123|Lackhawk Bk & Tr|Blackhawk Bank and Trust|Milan|IL|
071123149|East Natl Moline|Southeast National Bank|Davenport|IA|
071123262|Own and Country|Town & Country Bank|Springfield|IL|
071123385|Ainsource Bank|Mainsource Bank|Greensburg|IN|
071123990|Eights Bk Forrest|The Heights Bank Div of Fsb Forrest|Forrest|IL|
071124339|Ommunity Rk Falls|Community State Bank/rock Falls|Rock Falls|IL|
071124368|Roquois Farmers|Iroquois Farmers State Bank|Iroquois|IL|
071124740|St St Bk La Harpe|First State Bank of Illinois|Laharpe|IL|
071124931|Omm State Bank|Community State Bank|Galva|IL|
071125024|Ib Springfield Il|Tib the Independent Bankers Bank, Na|Springfield|IL|
071125587|Irst Capital Bank|Busey Bank|Peoria|IL|
071125891|Auk Valley Bk|Sauk Valley Bank and Trust Co|Sterling|IL|
071125914|Tate Bank, Ffg|State Bank, Ffg|Freeport|IL|
071125956|Idland States Ban|Midland States Bank|Champaign|IL|
071126078|Lackhawk B&T|Blackhawk Bank and Trust|Milan|IL|
071126269|Ts Southern Sf Mo|Great Southern Bank|Reed Springs|MO|
071126489|St St Bk La Harpe|First State Bank of Illinois|Kenney|IL|
071126955|Irst Natl Bnk|First National Bank|Mattoon|IL|
071174431|Tate Farm Fncl|State Farm Bank, Fsb|Bloomington|IL|
071174499|Ountry Trust Bk|Country Trust Bank|Bloomington|IL|
071174512|Wa Bank|Mwabank|Rock Island|IL|
071201320|Orizon Bk|Horizon Bank, an Indiana Bank|Michigan City|IN|
071202756|St Source|1st Source Bank|Valparaiso|IN|
071205850|Ab Financial|First Merchants Bank|Fort Wayne|IN|
071208297|Irst Middlebury|1st State Bank/middlebury|Middlebury|IN|
071212128|St Source|1st Source Bank|South Bend|IN|
071214249|Hemical Midland|Chemical Bank|Goshen|IN|
071214333|Hemical Midland|Chemical Bank|Goshen|IN|
071900456|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071900595|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071900760|Ld Second Aurora|Old Second Bank/aurora|Aurora|IL|
071900799|Erchants Aurora|Fifth Third Bank|Cincinnati|OH|
071900825|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071900993|Nion Natl Elgin|Union National Bank|Elgin|IL|
071901594|K Nrthn Waukegan|State Fincl Bk, Na, One S Genesee St|Waukegan|IL|
071901604|Irst Midwest Bank|First Midwest Bank|Itasca|IL|
071901837|Ffingham St Il|Midland States Bank|Effingham|IL|
071902030|Tnb|Hometown National Bank|La Salle|IL|
071902399|Irst Ottawa Il|1st National Bank/ottawa|Ottawa|IL|
071902629|Nb Omaha|First National Bank of Omaha|Dekalb|IL|
071902878|Entier Whiting|Centier Bank|Crown Point|IN|
071903055|Elvidere National|Alpine Bank & Trust Co.|Belvidere|IL|
071903110|An Bk La|Hanmi Bank|Los Angeles|CA|
071903929|Nbc B&T|Fnbc Bank and Trust|La Grange|IL|
071904290|Rundy Co Morris|Grundy Bank|Morris|IL|
071904355|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071904478|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071904517|Irst Midwest Bank|First Midwest Bank|Itasca|IL|
071904627|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071904779|Irstar Naperville|Us Bank, Na|Milwaukee|WI|
071905040|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071905082|Arvard State Bk|Harvard State Bank|Harvard|IL|
071905309|Entral Geneseo|Central Bank Illinois|Geneseo|IL|
071905846|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071905930|Epublic Chgo|Republic Bank of Chicago|Oak Brook|IL|
071905943|Nbc B&T|Fnbc Bank and Trust|La Grange|IL|
071905985|Ld Kent Ill|Fifth Third Bank|Cincinnati|OH|
071906573|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071908021|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071908063|T. Charles B&T|St. Charles Bank & Trust Co|Elgin|IL|
071908490|Merican Midwest|American Midwest Bank|Schaumburg|IL|
071908678|Epublic Bank Chi|Republic Bank of Chicago|Berkeley|IL|
071908827|Irst Midwest Bank|First Midwest Bank|Itasca|IL|
071908869|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071908908|Yron Bk|Byron Bank|Byron|IL|
071909046|Irst McHenry|1st National Bank/mchenry|Mchenry|IL|
071909091|Erch & Manuf Bank|Merchants & Manufacturers Bank|Channahon|IL|
071909198|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071909240|B Financial|Mb Financial Bank, N.A.|Glenwood|IL|
071909253|B Financial Bk Na|Mb Financial Bank, N.A.|Chicago|IL|
071909305|Nited Central Bk|United Central Bank|Naperville|IL|
071909363|Irst Midwest Bank|First Midwest Bank|Itasca|IL|
071909871|T Bk of Lakes|State Bank of the Lakes|Antioch|IL|
071910187|Ane County Elburn|Old Second Bank/aurora|Elburn|IL|
071910239|Eartland Bloomton|Heartland Bank & Trust Company|Bloomington|IL|
071910721|Tate Herscher|State Bank of Herscher|Herscher|IL|
071910776|Irst Manhattan Il|First Bank of Manhattan|Manhattan|IL|
071911270|Xford Bk Tr Addis|Oxford Bank & Trust|Oak Brook|IL|
071911296|Lgonquin State|Algonquin State Bank|Algonquin|IL|
071911364|Irst Natl Amboy|1st National Bank In Amboy|Amboy|IL|
071911416|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071911584|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071911704|Orizon Bank|Horizon Bank, National Association|Michigan City|IN|
071911788|Reat Lakes Bk, Na|Great Lakes Bank, N.A.|Blue Island|IL|
071912813|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IN|
071913058|Orreston State|Forreston State Bank|Forreston|IL|
071913278|Irst Grand Ridge|Grand Ridge National Bank|Grand Ridge|IL|
071913566|Olcomb State Bank|Holcomb State Bank|Holcomb|IL|
071913650|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071914138|He Lemont Nationa|The Lemont National Bank|Lemont|IL|
071914358|Esource Bank|Resource Bank, N.A.|Dekalb|IL|
071915218|Ioneer St Bk|Pioneer State Bank|Earlville|IL|
071915454|T Financial Bk|Associated Bank, N.A.|Richmond|IL|
071915797|Irst St Mendota|First State Bank|Mendota|IL|
071916123|Ioneer St Bk|Pioneer State Bank|Earlville|IL|
071916408|B Financial|Mb Financial Bank, N.A.|Aurora|IL|
071916482|Aterman State Bk|Waterman State Bank|Waterman|IL|
071916822|Orkville Natl|Old Second Bank/aurora|Aurora|IL|
071918150|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071918309|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071918383|Llini State Bank|Illini State Bank|Oglesby|IL|
071918545|Anco Popular|Banco Popular North America|Melrose Park|IL|
071919117|Irst Midwest Bk|First Midwest Bank|Itasca|IL|
071919120|Eartland B & T Co|Heartland Bank & Trust Company|Bloomington|IL|
071919463|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071920135|Idland States Bk|Midland States Bank|Effingham|IL|
071920559|Ark National Bank|Us Bank, Na|Oak Park|IL|
071920656|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071920960|Merican Midwest|American Midwest Bank|Antioch|IL|
071921176|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071921396|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071921464|Arvard State Bk|The Harvard State Bank|Oregon|IL|
071921529|Ioneer St Bk|Pioneer State Bank|Paw Paw|IL|
071921532|Irst St Mendota|First State Bank|Mendota|IL|
071921707|Eaway B&T|Seaway Bank & Trust|Maywood|IL|
071921749|Irst Comm|First Comm Financial|Joliet|IL|
071921794|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071921846|Ld Plank Trail Co|Old Plank Trail Community Bank, Na|New Lenox|IL|
071921956|Arseilles Bank Na|Marseilles Bank|Marseilles|IL|
071921985|St Security Tr|1st Security Trust & Savings|Elmwood Park|IL|
071922010|Omestarbk&Fnlsrv|Homestar Bank and Financial Srv|Manteno|IL|
071922094|Oplar Grove St Bk|Poplar Grove State Bank|Poplar Grove|IL|
071922117|Lackhawk State Bk|Blackhawk State Bank|Capron|IL|
071922188|Ranville National|The Granville National Bank|Granville|IL|
071922227|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071922256|Yline Bank|Byline Bank|Chicago|IL|
071922337|Atl Bk St Anne|National Bank of St. Anne|Saint Anne|IL|
071922366|Irst St Round Lk|Norstates Bank|Round Lake|IL|
071922476|B Financial Bk|Mb Financial Bank, N.A.|Glenview|IL|
071922557|Epublic Chgo|Republic Bank of Chicago|Darien|IL|
071922609|St Highland Pk|First Bank of Highland Park|Highland Park|IL|
071922638|Inancial Olympia|Bankfinancial Fsb|Olympia Fields|IL|
071922670|Irst Midwest Bank|First Midwest Bank|Itasca|IL|
071922696|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071922777|St Amer Bk Carpet|First American Bank|Elk Grove Village|IL|
071922829|Lainsbk Des Plain|First Bank|Des Plaines|IL|
071922874|Yline Bank|Byline Bank|Chicago|IL|
071922887|Ld Second Aurora|Old Second Bank/aurora|Chicago Heights|IL|
071922955|Irst Merit Akron|Firstmerit Bank Na|Akron|OH|
071922968|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071922984|Yline Bank|Byline Bank|Chicago|IL|
071923132|Horebank|Shorebank|Bellwood|IL|
071923213|Ibc Bank Usa|Cibc Bank Usa|Chicago|IL|
071923307|Lpine Bk Rockford|Alpine Bank & Trust Co.|Rockford|IL|
071923310|B Financial Bank|Mb Financial Bank, N.A.|Oak Brook|IL|
071923336|Irst Bk Palatine|First Bank & Tr Company of Illinois|Palatine|IL|
071923352|St Brookfield Il|First Natl Bank/brookfield|Brookfield|IL|
071923378|Orstates Bank|Norstates Bank|Waukegan|IL|
071923543|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071923569|Ridgeview Bank|Bridgeview Bank Group|Bridgeview|IL|
071923666|Yline Bank|Byline Bank|Chicago|IL|
071923695|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071923747|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071923750|Ld Plank Trail Co|Old Plank Trail Community Bank, Na|Crete|IL|
071923815|Ank of Montgomery|Bank of Montgomery|Montgomery|IL|
071923857|Orthwest Rockford|Northwest Bank of Rockford|Rockford|IL|
071924005|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071924063|Eartland Bloomton|Heartland Bank & Trust Company|Bloomington|IL|
071924131|Eritage Schaumbur|Heritage Bank/schaumburg|Schaumburg|IL|
071924160|Ank of Bourbonnai|Bank of Bourbonnais|Bourbonnais|IL|
071924212|Ountryside Bk|Countryside Bank|Countryside|IL|
071924241|An American Bank|Pan American Bank & Trust|Melrose Park|IL|
071924306|Irst Natl Wheaton|First Nations Bank|Chicago|IL|
071924319|Ronson Prospect|Banco Popular North America|Prospect Heights|IL|
071924458|Anco Popular, Il|Banco Popular North America|Melrose Park|IL|
071924513|Insdale B&Tc|Hinsdale Bank & Trust Company|Hinsdale|IL|
071924584|Nb Omaha|First National Bank Omaha|Marengo|IL|
071924652|Nland Bk and Tust|Inland Bank and Trust|Villa Park|IL|
071924681|Irstsecure B&T Co|First Secure Bank and Trust Co|Palos Hills|IL|
071924775|Eartland B&T|Heartland Bank & Trust Company|Bloomington|IL|
071924872|T Bk Wonder Lk|State Bank|Wonder Lake|IL|
071924898|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071924924|Arrington Bk & Tr|Barrington Bank & Trust Co., N.A.|Barrington|IL|
071925017|Rst Eagle Hnvr Pk|First Eagle Bank|Chicago|IL|
071925033|Nland Bk and Tr|Inland Bank and Trust|Hillside|IL|
071925046|B Financial|Mb Financial Bank, N.A.|Chicago|IL|
071925059|Insbrok Wilowbrok|Hinsdale Bank and Trust Company|Clarendon Hills|IL|
071925224|Mo Harris Bank Na|Bmo Harris Bank Na|Chicago|IL|
071925237|Irst Merit Akron|Firstmerit Bank Na|Akron|OH|
071925240|Nchor Bk Thrd Lke|State Financial Bank, N.A.|Grayslake|IL|
071925266|Ibc Bank Usa|Cibc Bank Usa|Lake Forest|IL|
071925305|Orthbrook B&T Co|Northbrook Bank & Trust Company|Northbrook|IL|
071925376|Ommunity Elmhurst|Community Bank of Elmhurst|Elmhurst|IL|
071925389|Heaton Bk&Tr|Wheaton Bank & Trust|Wheaton|IL|
071925392|T Charles B&T|St. Charles Bank & Trust Co|St Charles|IL|
071925402|Insdale B&Tc|Hinsdale Bank & Trust Company|Hinsdale|IL|
071925431|Heaton Bk&Tr|Wheaton Bank & Trust|Wheaton|IL|
071925444|Intrust Bk|Wintrust Bank|Chicago|IL|
071925460|Illage Bk & Trust|Village Bank & Trust|Arlington Heights|IL|
071925473|Illage Bank|Village Bank & Trust|Arlington Heights|IL|
071925509|Fb Evansville In|United Fidelity Bank Fsb|Evansville|IN|
071925541|Mer Enterprise Bk|American Enterprise Bank|Buffalo Grove|IL|
071925596|Nland B&T|Inland Bank and Trust|Oak Brook|IL|
071925606|Irst State Bank|First State Bank|Mendota|IL|
071925635|Ommunity Oak Park|Community Bk of Oak Park-River Frst|Oak Park|IL|
071925651|Arrington Bk & Tr|Barrington Bank & Trust Co., N.A.|Barrington|IL|
071925677|Chaumburg Bk & Tr|Schaumburg Bank & Trust Company, Na|Schaumburg|IL|
071925693|St Equity Bank|1st Equity Bank|Skokie|IL|
071925716|B Financial Bank|Mb Financial Bank, N.A.|Chicago|IL|
071925745|Irst Merit Akron|Firstmerit Bank Na|Akron|OH|
071925758|Rairie Community|Prairie Community Bank|Marengo|IL|
071925787|Rystal Lake B&Tc|Crystal Lake Bank & Trust Company|Crystal Lake|IL|
071925826|Irst Tr Bk Il|First Trust Bank of Illinois|Kankakee|IL|
071925839|Irst Merit Akron|Firstmerit Bank Na|Akron|OH|
071925855|Ssociated Bank Il|Associated Bank N.A.|Rockford|IL|
071925871|Yline Bank|Byline Bank|Chicago|IL|
071925884|Irst Personal Ban|First Personal Bank|Orland Park|IL|
071925923|Irst Mdwst Bk|First Midwest Bank|Itasca|IL|
071925965|Irst Midwest Bank|First Midwest Bank|Itasca|IL|
071925981|Vergreen Bnk Grp|Evergreen Bank Group|Oak Brook|IL|
071926016|Irst American Bk|First American Bnk|Carpentersville|IL|
071926045|Mer Woodstock|American Community Bank|Woodstock|IL|
071926058|Irst Secure Comm|First Secure Community Bank|Sugar Grove|IL|
071926061|He Leaders Bank|The Leaders Bank|Oak Brook|IL|
071926087|Ntl Bk of Chicago|International Bank of Chicago|Chicago|IL|
071926090|Rand Ridge Nb|Grand Ridge National Bank|Grand Ridge|IL|
071926113|Ommunity Lemont|Us Bank, Na|Lemont|IL|
071926155|Ornerstonepalatin|Cornerstone National Bk & Tr Co.|Palatine|IL|
071926171|Ark National Bk|Us Bank, Na|Lisle|IL|
071926184|Orthbrok Bk Tr Co|Northbrook Bank & Trust Company|Northbrook|IL|
071926197|Chaumburg B & T|Schaumburg Bank & Trust Company, Na|Schaumburg|IL|
071926210|Nland B&T|Inland Bank and Trust|Oak Brook|IL|
071926249|Ateway Comm Bank|Gateway Community Bank|Roscoe|IL|
071926252|B Financial Bank|Mb Financial Bank, N.A.|Chicago|IL|
071926281|Merican Eagle Bk|American Eagle Bank|South Elgin|IL|
071926333|Irst Equity N.W.|First Equity Bank Northwest|Buffalo Grove|IL|
071926362|Usey Bk Champaign|Busey Bank|Champaign|IL|
071926391|Ockford Bk & Tr|Rockford Bank & Trust|Rockford|IL|
071926443|Ntl Bk Chicago|International Bank of Chicago|Chicago|IL|
071926456|Epublic Chgo|Republic Bank of Chicago|Darien|IL|
071926472|Incolnway Com Bk|Lincolnway Community Bank|New Lenox|IL|
071926553|Entrust Bank, Na|Centrust Bank, Na|Northbrook|IL|
071926566|Tc Capital|Stc Capital Bank|St Charles|IL|
071926582|Ld Plank Trail Co|Old Plank Trail Community Bank, Na|New Lenox|IL|
071926618|Yline Bank|Byline Bank|Berwyn|IL|
071926634|Own Center Bank|Town Center Bank|Frankfort|IL|
071926650|T Charles B&T|St. Charles Bank & Trust Co|St. Charles|IL|
071926676|Usey Bk Champaign|Busey Bank|Joliet|IL|
071926692|Eoplefirst Bank|Peoplefirst Bank|Joliet|IL|
071926728|Heaton B & T|Wheaton Bank & Trust|Wheaton|IL|
071926731|Illennium Bank|Millennium Bank|Des Plaines|IL|
071926809|Oodforest Natl Bk|Woodforest National Bank|Rockford|IL|
071926854|Olden Eagle Comm|Golden Eagle Community Bank|Woodstock|IL|
071926870|Yline Bank|Byline Bank|Chicago|IL|
071926922|Axsafe|Lake Forest Bank & Trust Company|Lake Forest|IL|
071926980|Usey Bk Champaign|Busey Bank|Joliet|IL|
071927002|Usey Bk Champaign|Busey Bank|Joliet|IL|
071974424|Llste Fed Svgs Bk|Allstate Bank|Northbrook|IL|
071974440|Irst St Mendota|First State Bank|Mendota|IL|
071974453|Latinum Comm Bk|Platinum Community Bank|Rolling Meadows|IL|
071974466|Oyal Savings Bk|Royal Savings Bank|Chicago|IL|
071974505|Nited Trust Bank|United Trust Bank|Palos Heights|IL|
071993159|Ervices C U|Services Credit Union|Naperville|IL|
071993162|Bbott Lab Ecu|Abbott Laboratories Ecu|Gurnee|IL|
071993214|Llied First Bank|Allied First Bank|Oswego|IL|
071993243|Ervices Cr Union|Services Credit Union|Naperville|IL|
072000096|Omerica Bk|Comerica Bank|Livonia|MI|
072000290|Rb Detr|Frb Detroit|Detroit|MI|
072000326|Pmchase Michigan|Jpmorgan Chase Bank, Na|Detroit|MI|
072000805|Asalle Bk Midwest|Bank of America, Na|Troy|MI|
072000915|Nc Bank, Michigan|Pnc Bank, Michigan|Wilmington|DE|
072001079|Irst Independence|First Independence Bank|Detroit|MI|
072013915|Almer Bk & Trust|Chemical Bank|Lansing|MI|
072014477|Lly Bank Ut|Ally Bank|Charlotte|NC|
072400052|Ifth Third Bank|Fifth Third Bank|Grand Rapids|MI|
072400337|Hemical Bay Area|Chemical Bank|Bay City|MI|
072400528|Unt Col|The Huntington National Bank|Columbus|OH|
072401789|Horln Bk Bntn H|Chemical Bank|Benton Harbor|MI|
072402076|Harter Wyandotte|Charter One Bk, Na, 3058 1st St Offc|Taylor|MI|
072402157|Onroe Bk and Trst|Monroe Bank & Trust|Monroe|MI|
072402283|Outhern Coldwater|Southern Michigan Bank & Trust|Coldwater|MI|
072402348|Eoples St Joseph|Fifth Third Bank|Evansville|IN|
072402610|Outhern Mich B&T|Southern Michigan Bank & Trust|Coldwater|MI|
072402652|Ndependent Bank|Independent Bank|Grand Rapids|MI|
072402665|Ercantile Mi|Mercantile Bank of Michigan|Shepherd|MI|
072403004|Sabel Mt Pleasant|Isabella Bank|Mount Pleasant|MI|
072403046|Akestone B&T|Lakestone Bank & Trust|Lapeer|MI|
072403211|Ercantile Mi|Mercantile Bank of Michigan|Shepherd|MI|
072403347|Ld Evansville In|Old National Bank|Evansville|IN|
072403402|Hemical Bk Caro|Chemical Bank|Caro|MI|
072403554|Ommercial Bank|Commercial Bank|Ithaca|MI|
072403635|Helsea St|Chelsea State Bank|Chelsea|MI|
072403677|Ommercial Bank|Commercial Bank|Ithaca|MI|
072404142|Hemical Clare|Chemical Bank|Clare|MI|
072404650|Ercantile Mi|Mercantile Bank of Michigan|Lakeview|MI|
072404757|Ercantile Mi|Mercantile Bank of Michigan|Grand Rapids|MI|
072404786|Omerica Bk Tr Na|Comerica Bank and Trust Na|Ann Arbor|MI|
072404867|Akestone B&T|Lakestone Bank & Trust|Lapeer|MI|
072404948|Hemical Cadillac|Chemical Bank|Lake City|MI|
072404993|T Bk Mayville|St Bk Mayville|Mayville|MI|
072405280|Xchange St Bk|Exchange State Bank|Carsonville|MI|
072405442|Lden State Bank|Alden State Bank|Alden|MI|
072405604|Ake Osceola St Bk|Lake Osceola State Bank|Baldwin|MI|
072405620|Mich Save Bangor|Sturgis Bank & Trust Company|Sturgis|MI|
072405688|T Bk Bay Port|Bay Port State Bank|Bay Port|MI|
072405743|Entral Beulah|Central State Bank|Beulah|MI|
072406506|T Save Frankfort|State Savings Bank|Frankfort|MI|
072406522|Reeland St Bk|Freeland State Bank|Freeland|MI|
072406768|Hemical Midland|Chemical Bank|Troy|MI|
072406865|Onor Bank|Honor Bank|Honor|MI|
072406975|Ent City St|Valley Ridge Bank|Kent City|MI|
072407123|Ndependent Leslie|Independent Bank|Grand Rapids|MI|
072407495|Ontrose State Bk|The State Bank|Montrose|MI|
072407741|Nsted St|Osb Community Bank|Brooklyn|MI|
072407987|Hemical Midland|Chemical Bank|Troy|MI|
072408274|Almazo Schoolcrft|Kalamazoo County State Bank|Schoolcraft|MI|
072408290|Est Shore Bank|West Shore Bank|Ludington|MI|
072408436|Hoiceone Bank|Choiceone Bank|Sparta|MI|
072408546|Sbbank|Ssb Bank|Stockbridge|MI|
072408708|Ndependent Caro|Independent Bank|Grand Rapids|MI|
072408805|Nited Gr Rapids|United Bk of Michigan|Grand Rapids|MI|
072409464|Hemical Bank|Chemical Bank|Byron Center|MI|
072410013|Hemical Midland|Chemical Bank|Midland|MI|
072410123|Unt Col|The Huntington National Bank|Columbus|OH|
072410165|Irst St|First State Bank|Eastpointe|MI|
072410194|Hemical Bank|Chemical Bank|Marshall|MI|
072410987|Ep Ins Natl Bk Nb|Deposit Ins Natl Bk New Baltimore|New Baltimore|MI|
072411025|Armers St Munith|Farmers St Munith|Munith|MI|
072411436|Orthstar Bank|Northstar Bank|||
072412037|Tate Bk Fenton|The State Bank|Fenton|MI|
072412435|Irst Natl Amer|First National Bank of America|East Lansing|MI|
072412655|Unt Col|The Huntington National Bank|Birmingham|MI|
072412778|Almer Bk & Trust|Chemical Bank|Farmington Hills|MI|
