CompanyName|CreatedDate
Caterpillar Inc.|2019-06-23
CBRL Group Inc.|2019-06-23
CDI Corp.|2019-06-23
CDW Computer Centers Inc.|2019-06-23
CellStar Corp.|2019-06-23
Cendant Corp|2019-06-23
Cenex Harvest States Cooperatives|2019-06-23
Centex Corp.|2019-06-23
CenturyTel Inc.|2019-06-23
Ceridian Corp.|2019-06-23
CH2M Hill Cos. Ltd.|2019-06-23
Champion Enterprises Inc.|2019-06-23
Charles Schwab Corp.|2019-06-23
Charming Shoppes Inc.|2019-06-23
Charter Communications Inc.|2019-06-23
Charter One Financial Inc.|2019-06-23
ChevronTexaco Corp.|2019-06-23
Chiquita Brands International Inc.|2019-06-23
Chubb Corp|2019-06-23
Ciena Corp.|2019-06-23
Cigna Corp|2019-06-23
Cincinnati Financial Corp.|2019-06-23
Cinergy Corp.|2019-06-23
Cintas Corp.|2019-06-23
Circuit City Stores Inc.|2019-06-23
Cisco Systems Inc.|2019-06-23
Citigroup, Inc|2019-06-23
Citizens Communications Co.|2019-06-23
CKE Restaurants Inc.|2019-06-23
Clear Channel Communications Inc.|2019-06-23
The Clorox Co.|2019-06-23
CMGI Inc.|2019-06-23
CMS Energy Corp.|2019-06-23
CNF Inc.|2019-06-23
Coca-Cola Co.|2019-06-23
Coca-Cola Enterprises Inc.|2019-06-23
Colgate-Palmolive Co.|2019-06-23
Collins & Aikman Corp.|2019-06-23
Comcast Corp.|2019-06-23
Comdisco Inc.|2019-06-23
Comerica Inc.|2019-06-23
Comfort Systems USA Inc.|2019-06-23
Commercial Metals Co.|2019-06-23
Community Health Systems Inc.|2019-06-23
Compass Bancshares Inc|2019-06-23
Computer Associates International Inc.|2019-06-23
Computer Sciences Corp.|2019-06-23
Compuware Corp.|2019-06-23
Comverse Technology Inc.|2019-06-23
ConAgra Foods Inc.|2019-06-23
Concord EFS Inc.|2019-06-23
Conectiv, Inc|2019-06-23
Conoco Inc|2019-06-23
Conseco Inc.|2019-06-23
Consolidated Freightways Corp.|2019-06-23
Consolidated Edison Inc.|2019-06-23
Constellation Brands Inc.|2019-06-23
Constellation Emergy Group Inc.|2019-06-23
Continental Airlines Inc.|2019-06-23
Convergys Corp.|2019-06-23
Cooper Cameron Corp.|2019-06-23
Cooper Industries Ltd.|2019-06-23
Cooper Tire & Rubber Co.|2019-06-23
Corn Products International Inc.|2019-06-23
Corning Inc.|2019-06-23
Costco Wholesale Corp.|2019-06-23
Countrywide Credit Industries Inc.|2019-06-23
Coventry Health Care Inc.|2019-06-23
Cox Communications Inc.|2019-06-23
Crane Co.|2019-06-23
Crompton Corp.|2019-06-23
Crown Cork & Seal Co. Inc.|2019-06-23
CSK Auto Corp.|2019-06-23
CSX Corp.|2019-06-23
Cummins Inc.|2019-06-23
CVS Corp.|2019-06-23
Cytec Industries Inc.|2019-06-23
D&K Healthcare Resources, Inc.|2019-06-23
D.R. Horton Inc.|2019-06-23
Dana Corporation|2019-06-23
Danaher Corporation|2019-06-23
Darden Restaurants Inc.|2019-06-23
DaVita Inc.|2019-06-23
Dean Foods Company|2019-06-23
Deere & Company|2019-06-23
Del Monte Foods Co|2019-06-23
Dell Computer Corporation|2019-06-23
Delphi Corp.|2019-06-23
Delta Air Lines Inc.|2019-06-23
Deluxe Corporation|2019-06-23
Devon Energy Corporation|2019-06-23
Di Giorgio Corporation|2019-06-23
Dial Corporation|2019-06-23
Diebold Incorporated|2019-06-23
Dillard's Inc.|2019-06-23
DIMON Incorporated|2019-06-23
Dole Food Company, Inc.|2019-06-23
Dollar General Corporation|2019-06-23
Dollar Tree Stores, Inc.|2019-06-23
Dominion Resources, Inc.|2019-06-23
Domino's Pizza LLC|2019-06-23
Dover Corporation, Inc.|2019-06-23
Dow Chemical Company|2019-06-23
Dow Jones & Company, Inc.|2019-06-23
DPL Inc.|2019-06-23
DQE Inc.|2019-06-23
Dreyer's Grand Ice Cream, Inc.|2019-06-23
DST Systems, Inc.|2019-06-23
DTE Energy Co.|2019-06-23
E.I. Du Pont de Nemours and Company|2019-06-23
Duke Energy Corp|2019-06-23
Dun & Bradstreet Inc.|2019-06-23
DURA Automotive Systems Inc.|2019-06-23
DynCorp|2019-06-23
Dynegy Inc.|2019-06-23
E*Trade Group, Inc.|2019-06-23
E.W. Scripps Company|2019-06-23
Earthlink, Inc.|2019-06-23
Eastman Chemical Company|2019-06-23
Eastman Kodak Company|2019-06-23
Eaton Corporation|2019-06-23
Echostar Communications Corporation|2019-06-23
Ecolab Inc.|2019-06-23
Edison International|2019-06-23
EGL Inc.|2019-06-23
El Paso Corporation|2019-06-23
Electronic Arts Inc.|2019-06-23
Electronic Data Systems Corp.|2019-06-23
Eli Lilly and Company|2019-06-23
EMC Corporation|2019-06-23
Emcor Group Inc.|2019-06-23
Emerson Electric Co.|2019-06-23
Encompass Services Corporation|2019-06-23
Energizer Holdings Inc.|2019-06-23
Energy East Corporation|2019-06-23
Engelhard Corporation|2019-06-23
Enron Corp.|2019-06-23
Entergy Corporation|2019-06-23
